UniqueCount	AmbigCount
9	0
0	350
7	2016
0	2023
0	1698
29	320
0	25
75	1995
9	0
27	0
90	0
0	3749
0	11199
0	4156
8	3858
0	10792
8	0
42	0
0	4613
0	4049
0	4276
0	3712
0	4195
0	4130
0	3631
0	4694
44	3315
4	1405
17	3315
8	0
12	0
8	0
10	0
23	0
8	0
45	4013
2888	4013
11	3138
12	0
1593	0
6	0
69	2845
0	2845
861	0
1337	0
18	0
726	792
18	792
8	0
16	0
0	2154
15	6830
15	6839
6	4760
1	2071
23	12
29	0
13	0
82	0
0	1512
0	1474
0	1448
84	1314
0	1410
23	0
9	0
9	0
20	0
16	0
12	0
24	0
12	0
13	0
6	0
34	0
15	0
9	9462
397	9462
20	0
42	0
